FullyPaid, IntRate ,Installment,logannual.inc,FICO,RevBal,Purpose,,
No, 0.12 ,215.57,9.952277717,722,9317,debt_consolidation,,
Yes, 0.13 ,151.97,9.392661929,742,3954,home_improvement,,
Yes, 0.09 ,319.47,10.77895629,752,8903,credit_card,,
Yes, 0.08 ,187.15,11.42081018,777,5921,all_other,,
Yes, 0.14 ,438.13,11.41420949,702,32785,debt_consolidation,,
Yes, 0.08 ,172.35,10.30895266,802,527,all_other,,
Yes, 0.12 ,132.66,10.29336514,757,65,debt_consolidation,,
Yes, 0.12 ,82.91,9.998615898,707,9847,credit_card,,
Yes, 0.12 ,497.46,11.95761129,752,6077,credit_card,,
Yes, 0.15 ,499.56,10.65725935,677,7854,credit_card,,
Yes, 0.13 ,169.62,10.91501573,707,5337,all_other,,
Yes, 0.12 ,182.41,10.59663473,722,919,all_other,,
Yes, 0.14 ,212.22,10.16585182,677,1365,debt_consolidation,,
Yes, 0.15 ,518.06,11.3736634,682,28766,debt_consolidation,,
Yes, 0.10 ,320.95,11.15625052,762,110,major_purchase,,
Yes, 0.14 ,515.74,11.44035477,692,25892,debt_consolidation,,
Yes, 0.12 ,99.95,10.15019137,767,72,all_other,,
Yes, 0.16 ,176.65,11.32779998,662,25505,debt_consolidation,,
Yes, 0.12 ,165.82,10.59653473,737,8773,all_other,,
Yes, 0.10 ,107.52,11.25544923,717,14578,educational,,
Yes, 0.12 ,204.89,10.28874995,707,15509,credit_card,,
Yes, 0.12 ,397.97,10.59663473,732,22026,all_other,,
Yes, 0.18 ,108.3,11.88448902,672,29748,educational,,
No, 0.17 ,532.05,11.00126616,667,13672,debt_consolidation,,
Yes, 0.13 ,395.2,10.96812932,692,22195,debt_consolidation,,
Yes, 0.13 ,508.84,11.84228676,707,0,all_other,,
Yes, 0.12 ,249.87,10.96812932,777,3444,small_business,,
Yes, 0.13 ,118.2,10.77895629,687,13632,all_other,,
Yes, 0.15 ,260.19,10.44592812,692,15708,debt_consolidation,,
Yes, 0.14 ,381.65,11.19547123,692,18384,debt_consolidation,,
Yes, 0.15 ,381.64,11.05089001,677,27780,debt_consolidation,,
No, 0.12 ,331.64,11.13453063,727,24185,home_improvement,,
Yes, 0.16 ,459.08,10.82972862,667,6570,debt_consolidation,,
Yes, 0.14 ,408.91,11.06657586,687,11972,debt_consolidation,,
Yes, 0.15 ,345.37,11.20536716,687,4073,debt_consolidation,,
Yes, 0.15 ,520.37,11.31203252,692,18126,debt_consolidation,,
Yes, 0.13 ,502,11.85651517,732,2732,home_improvement,,
Yes, 0.13 ,268.95,11.95675836,707,23021,major_purchase,,
No, 0.13 ,441,10.85892207,707,8898,debt_consolidation,,
Yes, 0.13 ,217.11,10.77895629,687,9216,debt_consolidation,,
Yes, 0.10 ,231.08,10.71441777,722,9500,debt_consolidation,,
Yes, 0.16 ,471.65,10.58357482,677,18688,credit_card,,
Yes, 0.12 ,215.57,10.59663473,717,6901,debt_consolidation,,
Yes, 0.12 ,165.82,10.9329641,747,3200,home_improvement,,
Yes, 0.10 ,481.42,10.96044417,797,3658,all_other,,
Yes, 0.08 ,282.03,11.77528973,782,7181,credit_card,,
No, 0.12 ,99.5,10.12647109,707,1952,debt_consolidation,,
No, 0.08 ,313.37,10.91508846,802,2893,all_other,,
Yes, 0.15 ,138.77,10.10217446,662,4624,all_other,,
Yes, 0.10 ,231.08,10.59663473,747,12776,credit_card,,
Yes, 0.13 ,284.47,10.59663473,717,7174,credit_card,,
No, 0.12 ,258.68,10.77895629,742,3501,credit_card,,
No, 0.15 ,294.88,10.49127422,667,8297,debt_consolidation,,
Yes, 0.16 ,175.79,10.77891462,672,3218,all_other,,
Yes, 0.13 ,67.55,10.18490001,717,0,all_other,,
Yes, 0.13 ,339.23,11.08214255,697,15351,credit_card,,
Yes, 0.12 ,666.3,11.16809439,802,114,all_other,,
Yes, 0.15 ,294.88,9.903487553,667,6574,debt_consolidation,,
No, 0.15 ,312.23,10.89673933,682,35379,credit_card,,
Yes, 0.13 ,186.58,10.43399815,682,13403,educational,,
Yes, 0.15 ,522.7,11.69524702,687,23997,debt_consolidation,,
Yes, 0.09 ,303.5,11.56171563,762,10828,home_improvement,,
Yes, 0.12 ,399.78,11.03127022,732,2941,debt_consolidation,,
Yes, 0.09 ,31.95,11.1123882,727,22930,debt_consolidation,,
No, 0.14 ,481.36,10.88556602,687,6309,credit_card,,
Yes, 0.13 ,176.54,10.81977828,702,8063,credit_card,,
Yes, 0.10 ,70.61,9.183174704,717,5209,debt_consolidation,,
Yes, 0.08 ,187.15,11.01039864,787,1157,home_improvement,,
Yes, 0.08 ,187.15,11.59910316,777,13430,home_improvement,,
Yes, 0.12 ,383.13,11.19821472,737,19,all_other,,
Yes, 0.13 ,588.32,10.81977828,717,19621,debt_consolidation,,
Yes, 0.14 ,171.92,10.30895266,672,9493,debt_consolidation,,
Yes, 0.17 ,712.54,11.65268741,677,13273,debt_consolidation,,
Yes, 0.12 ,369.8,10.38108726,717,14339,debt_consolidation,,
Yes, 0.16 ,225.01,10.30895266,667,395,educational,,
Yes, 0.10 ,481.42,11.66992921,797,5491,all_other,,
Yes, 0.10 ,231.08,11.24723969,722,9222,credit_card,,
Yes, 0.09 ,111.82,10.87804719,727,2880,all_other,,
Yes, 0.18 ,431.31,11.08214255,667,21233,debt_consolidation,,
Yes, 0.14 ,342.29,11.00209984,697,16843,debt_consolidation,,
Yes, 0.13 ,504.27,10.71441777,717,12644,debt_consolidation,,
Yes, 0.12 ,333.15,10.81985828,717,6063,debt_consolidation,,
No, 0.16 ,565.02,11.00209984,667,20702,credit_card,,
Yes, 0.15 ,189.96,10.30895266,677,2640,debt_consolidation,,
Yes, 0.10 ,150.85,11.36210258,732,23096,debt_consolidation,,
Yes, 0.13 ,252.14,10.91508846,732,4590,small_business,,
Yes, 0.17 ,532.05,11.2586008,692,36123,debt_consolidation,,
Yes, 0.14 ,340.76,10.37349118,692,16354,debt_consolidation,,
Yes, 0.12 ,399.78,10.71441777,747,7224,all_other,,
Yes, 0.10 ,192.57,10.94552949,722,13066,all_other,,
Yes, 0.15 ,375.47,9.94251594,687,1889,major_purchase,,
Yes, 0.13 ,167.34,11.24504602,712,40752,debt_consolidation,,
Yes, 0.13 ,675.41,11.65268741,717,22424,debt_consolidation,,
Yes, 0.14 ,275.07,10.47925786,677,8928,debt_consolidation,,
Yes, 0.07 ,60.54,10.54534144,777,1595,all_other,,
Yes, 0.09 ,191.69,10.96819829,737,7711,credit_card,,
Yes, 0.08 ,155.96,11.6351431,787,4333,credit_card,,
Yes, 0.14 ,170.38,11.35040654,737,890,educational,,
Yes, 0.08 ,282.03,10.85591733,792,2475,major_purchase,,
Yes, 0.13 ,672.36,11.15625052,747,4304,small_business,,
Yes, 0.13 ,50.43,11.40756495,692,27248,educational,,
Yes, 0.13 ,80.32,9.998615898,707,3228,all_other,,
Yes, 0.12 ,232.15,10.89807177,712,14968,all_other,,
Yes, 0.13 ,169.62,11.08220409,687,0,all_other,,
Yes, 0.13 ,308.7,11.03495418,702,22493,home_improvement,,
Yes, 0.14 ,182.23,10.81985828,672,2401,educational,,
Yes, 0.12 ,199.89,9.952277717,712,8680,credit_card,,
Yes, 0.13 ,236.4,11.40756495,697,8091,debt_consolidation,,
Yes, 0.10 ,192.57,11.27720313,767,1431,home_improvement,,
Yes, 0.10 ,192.57,11.26446411,727,11646,credit_card,,
Yes, 0.18 ,181.85,9.903487553,697,3688,small_business,,
Yes, 0.13 ,336.18,10.23995979,712,9020,debt_consolidation,,
Yes, 0.10 ,247.13,11.28978191,737,13734,credit_card,,
Yes, 0.14 ,195.94,10.858999,687,6180,debt_consolidation,,
Yes, 0.13 ,569.9,11.22524339,712,15646,credit_card,,
Yes, 0.13 ,336.18,10.59663473,727,17944,debt_consolidation,,
Yes, 0.14 ,136.31,10.59663473,682,4764,debt_consolidation,,
Yes, 0.16 ,269.84,10.49127422,667,16083,credit_card,,
Yes, 0.15 ,249.78,11.22524339,677,17321,debt_consolidation,,
Yes, 0.09 ,223.63,11.91839057,762,79333,home_improvement,,
Yes, 0.14 ,684.58,11.00209984,702,9520,all_other,,
Yes, 0.14 ,245.35,10.58354949,682,9625,debt_consolidation,,
No, 0.10 ,385.14,10.66895539,752,22486,credit_card,,
Yes, 0.10 ,256.76,11.73606902,742,9348,major_purchase,,
Yes, 0.09 ,159.74,10.37349118,752,833,all_other,,
Yes, 0.09 ,159.74,10.98494147,777,152,all_other,,
No, 0.15 ,85.87,11.1844214,672,5517,debt_consolidation,,
Yes, 0.10 ,462.16,11.06657586,762,11160,debt_consolidation,,
Yes, 0.16 ,176.57,11.87756858,667,157,all_other,,
Yes, 0.15 ,871.16,11.40645322,702,30523,small_business,,
Yes, 0.16 ,280.02,10.91643301,667,43110,debt_consolidation,,
No, 0.14 ,238.96,10.1266311,672,9394,credit_card,,
No, 0.13 ,675.41,11.23848862,712,21118,all_other,,
Yes, 0.13 ,167.34,11.10122093,722,24345,credit_card,,
Yes, 0.13 ,417.25,10.37361617,697,10543,debt_consolidation,,
Yes, 0.14 ,61.62,10.71441777,677,17826,small_business,,
Yes, 0.13 ,405.25,11.2771525,702,754,all_other,,
No, 0.14 ,545.21,11.28978191,702,13742,credit_card,,
Yes, 0.08 ,31.2,11.35040654,767,7603,credit_card,,
Yes, 0.15 ,379.91,10.85892207,677,11419,debt_consolidation,,
Yes, 0.13 ,100.4,10.30895266,697,1568,all_other,,
Yes, 0.12 ,106.61,9.903487553,722,3246,debt_consolidation,,
Yes, 0.13 ,669.33,10.88743693,747,25121,all_other,,
Yes, 0.07 ,55.89,10.28465997,772,6469,all_other,,
Yes, 0.15 ,690.74,11.1844214,687,13693,debt_consolidation,,
Yes, 0.14 ,137.54,9.740968623,697,3090,all_other,,
Yes, 0.17 ,427.53,11.40756495,667,15534,debt_consolidation,,
Yes, 0.12 ,333.15,11.1124479,742,220,home_improvement,,
Yes, 0.14 ,340.76,11.16863071,692,6344,debt_consolidation,,
Yes, 0.09 ,191.69,11.08214255,762,717,all_other,,
No, 0.15 ,693.83,11.31498659,697,12147,debt_consolidation,,
Yes, 0.18 ,290.07,10.55518754,672,9961,debt_consolidation,,
Yes, 0.14 ,481.36,11.15619338,692,40125,debt_consolidation,,
Yes, 0.19 ,262.21,11.32659589,672,12513,home_improvement,,
Yes, 0.13 ,401.6,10.87804719,737,18154,debt_consolidation,,
Yes, 0.13 ,268.95,11.30958454,787,11,small_business,,
Yes, 0.12 ,399.78,11.01862914,762,12416,debt_consolidation,,
Yes, 0.13 ,200.8,10.43399815,702,8375,debt_consolidation,,
Yes, 0.14 ,102.23,11.40756495,682,6345,home_improvement,,
Yes, 0.12 ,466.41,11.8493977,747,3926,debt_consolidation,,
Yes, 0.14 ,515.74,10.73630972,712,16727,debt_consolidation,,
No, 0.14 ,408.91,10.51888938,702,4800,debt_consolidation,,
Yes, 0.14 ,374.84,11.15619338,687,10619,all_other,,
Yes, 0.16 ,141.26,10.57131693,667,10490,debt_consolidation,,
Yes, 0.12 ,399.78,10.75790288,727,9554,small_business,,
Yes, 0.13 ,271.39,10.71441777,687,12000,debt_consolidation,,
Yes, 0.08 ,219.36,11.13470581,752,2932,credit_card,,
Yes, 0.13 ,590.26,11.58058411,707,35598,debt_consolidation,,
Yes, 0.08 ,168.43,10.4491745,797,5133,home_improvement,,
Yes, 0.15 ,174.24,10.46310334,672,8105,major_purchase,,
No, 0.09 ,278.74,10.858999,757,43232,small_business,,
Yes, 0.14 ,855.73,12.47125984,712,11697,small_business,,
No, 0.14 ,41.08,9.210340372,677,802,debt_consolidation,,
No, 0.11 ,197.82,10.93310697,712,18513,credit_card,,
Yes, 0.10 ,385.14,11.00209984,752,3428,all_other,,
Yes, 0.10 ,168.5,11.08220409,727,25147,credit_card,,
Yes, 0.10 ,117.15,11.60823564,717,35544,credit_card,,
Yes, 0.13 ,101.32,10.6454249,687,8817,all_other,,
Yes, 0.13 ,537.89,11.51292546,717,26711,debt_consolidation,,
No, 0.14 ,766.73,11.35035948,697,18067,all_other,,
Yes, 0.14 ,408.91,10.91523391,702,7085,debt_consolidation,,
Yes, 0.09 ,222.03,10.30895266,737,16775,small_business,,
Yes, 0.16 ,527.36,10.81977828,667,11819,debt_consolidation,,
Yes, 0.09 ,159.74,10.71441777,737,4717,debt_consolidation,,
No, 0.13 ,168.09,11.00209984,697,5878,small_business,,
Yes, 0.17 ,638.46,11.03811028,672,18182,debt_consolidation,,
Yes, 0.14 ,171.92,10.08580911,692,2109,major_purchase,,
No, 0.12 ,116.61,10.85892207,707,12324,all_other,,
Yes, 0.10 ,96.29,11.32659589,717,5033,all_other,,
No, 0.09 ,31.95,10.49127422,742,8990,all_other,,
Yes, 0.13 ,405.25,10.96819829,702,14057,debt_consolidation,,
Yes, 0.14 ,102.69,11.22524339,672,10025,home_improvement,,
Yes, 0.12 ,266.52,9.903487553,772,7405,credit_card,,
No, 0.12 ,530.63,11.22524339,752,4498,all_other,,
Yes, 0.15 ,693.83,11.08827754,692,0,home_improvement,,
Yes, 0.08 ,110.73,9.915663128,767,4120,debt_consolidation,,
Yes, 0.13 ,504.27,11.15625052,762,186,small_business,,
Yes, 0.10 ,288.85,11.08214255,737,32820,debt_consolidation,,
Yes, 0.14 ,515.74,11.1844214,697,35761,debt_consolidation,,
Yes, 0.13 ,134.48,9.798127037,712,13,all_other,,
Yes, 0.09 ,357.81,11.09741002,747,19926,debt_consolidation,,
Yes, 0.12 ,99.5,10.30895266,712,14577,small_business,,
Yes, 0.15 ,277.53,10.20536834,677,7974,debt_consolidation,,
Yes, 0.14 ,340.76,11.08214255,687,13875,debt_consolidation,,
Yes, 0.15 ,261.35,10.46321762,677,1685,debt_consolidation,,
Yes, 0.13 ,302.57,11.2579816,702,1575,major_purchase,,
Yes, 0.10 ,208.62,10.37324115,742,883,educational,,
Yes, 0.12 ,533.04,11.33857208,737,24177,all_other,,
Yes, 0.13 ,174.03,10.82972862,702,5229,debt_consolidation,,
No, 0.14 ,170.38,10.81985828,687,4305,major_purchase,,
Yes, 0.07 ,69.86,11.36673138,777,103088,all_other,,
Yes, 0.13 ,254.42,11.0814654,687,9463,home_improvement,,
No, 0.17 ,638.46,10.8077057,667,6241,all_other,,
Yes, 0.15 ,198.59,9.680344001,682,5560,credit_card,,
Yes, 0.13 ,50.43,11.02190247,687,13140,all_other,,
Yes, 0.14 ,206.3,11.02190247,672,9184,major_purchase,,
Yes, 0.14 ,410.75,11.40756495,682,9101,debt_consolidation,,
Yes, 0.16 ,420.02,11.28978191,672,8664,debt_consolidation,,
Yes, 0.13 ,46.86,11.10495723,697,13999,all_other,,
Yes, 0.13 ,302.57,11.00209984,682,14309,credit_card,,
Yes, 0.13 ,506.56,10.59663473,712,2897,debt_consolidation,,
Yes, 0.09 ,95.85,11.11988288,727,20863,debt_consolidation,,
Yes, 0.16 ,700.04,10.81977828,677,24738,debt_consolidation,,
Yes, 0.14 ,342.29,11.19134184,677,45383,home_improvement,,
Yes, 0.13 ,535.46,10.74720759,727,15354,debt_consolidation,,
Yes, 0.09 ,191.69,10.78931908,742,4014,all_other,,
Yes, 0.13 ,227.29,11.18725073,687,53683,debt_consolidation,,
Yes, 0.13 ,100.86,11.51288546,692,71161,debt_consolidation,,
No, 0.13 ,312.08,11.35040654,712,67614,small_business,,
No, 0.13 ,672.36,10.71441777,767,14729,debt_consolidation,,
No, 0.08 ,47.01,10.12021054,767,2130,all_other,,
No, 0.13 ,202.63,10.49127422,692,6581,debt_consolidation,,
Yes, 0.13 ,270.17,10.37349118,697,6389,debt_consolidation,,
Yes, 0.13 ,114.82,10.36646657,717,3967,all_other,,
Yes, 0.16 ,370.8,10.73639668,662,10039,debt_consolidation,,
Yes, 0.13 ,237.46,11.42954386,692,40479,all_other,,
Yes, 0.14 ,245.35,10.37173965,682,7458,debt_consolidation,,
Yes, 0.08 ,100.28,11.22524339,737,4000,debt_consolidation,,
Yes, 0.14 ,342.29,10.71441777,682,11816,debt_consolidation,,
Yes, 0.15 ,69.39,10.81977828,667,6712,all_other,,
Yes, 0.10 ,385.14,12.22587527,747,25814,credit_card,,
Yes, 0.13 ,270.17,10.81977828,737,7936,debt_consolidation,,
Yes, 0.08 ,188.02,11.00209984,767,7161,all_other,,
Yes, 0.15 ,89.8,10.34161344,662,4620,educational,,
Yes, 0.10 ,318.54,10.77895629,742,39689,small_business,,
No, 0.15 ,207.23,10.49127422,677,20616,small_business,,
Yes, 0.13 ,339.23,10.91501573,692,2432,all_other,,
Yes, 0.08 ,200.56,10.81977828,792,339,all_other,,
Yes, 0.15 ,172.69,10.81977828,692,6165,small_business,,
Yes, 0.13 ,472.79,11.44035477,717,40761,credit_card,,
Yes, 0.10 ,584.92,10.46321762,782,4407,debt_consolidation,,
Yes, 0.09 ,127.79,10.87426647,742,630,major_purchase,,
Yes, 0.12 ,159.92,11.06663836,712,9878,all_other,,
Yes, 0.14 ,302.57,10.74281084,707,8134,debt_consolidation,,
Yes, 0.15 ,241.76,10.47678644,672,6547,debt_consolidation,,
Yes, 0.12 ,331.64,11.35040654,732,35166,major_purchase,,
Yes, 0.13 ,678.46,11.98292909,762,5253,small_business,,
Yes, 0.09 ,223.63,11.1844214,742,41059,all_other,,
Yes, 0.12 ,222,11.23511451,712,71116,credit_card,,
Yes, 0.12 ,232.15,11.58988651,792,2759,all_other,,
No, 0.09 ,70.29,9.741203889,732,5101,debt_consolidation,,
Yes, 0.13 ,201.71,10.66886237,692,3517,debt_consolidation,,
Yes, 0.09 ,268.36,12.1547583,777,2009,all_other,,
Yes, 0.14 ,550.13,11.15625052,687,16124,debt_consolidation,,
Yes, 0.10 ,449.32,11.7905572,787,152,small_business,,
Yes, 0.08 ,203.69,10.81977828,822,35624,small_business,,
Yes, 0.14 ,340.76,10.81985828,712,757,small_business,,
Yes, 0.15 ,690.74,11.64395373,702,52285,debt_consolidation,,
Yes, 0.14 ,468.54,10.40426284,702,19812,debt_consolidation,,
Yes, 0.13 ,168.86,11.91839057,692,75454,small_business,,
Yes, 0.15 ,207.23,11.5211317,672,3402,debt_consolidation,,
Yes, 0.14 ,618.89,11.15625052,722,18505,all_other,,
Yes, 0.13 ,638.75,11.08214255,722,15923,debt_consolidation,,
Yes, 0.08 ,124.77,10.37349118,772,7549,major_purchase,,
Yes, 0.13 ,401.6,10.57131693,717,8123,all_other,,
Yes, 0.17 ,644.12,11.52584169,662,3781,all_other,,
Yes, 0.15 ,156.12,10.40426284,662,6063,all_other,,
Yes, 0.13 ,270.17,10.91508846,717,34260,small_business,,
Yes, 0.14 ,408.91,10.79973883,687,17386,debt_consolidation,,
No, 0.13 ,678.46,12.12269104,732,50381,debt_consolidation,,
Yes, 0.12 ,199.89,10.46310334,717,6881,all_other,,
Yes, 0.14 ,515.74,11.40756495,687,5226,debt_consolidation,,
Yes, 0.07 ,77.62,11.63509885,772,2498,all_other,,
Yes, 0.16 ,565.02,11.1124479,667,12736,debt_consolidation,,
Yes, 0.07 ,155.3,11.35977429,822,1874,debt_consolidation,,
Yes, 0.14 ,308.06,10.858999,687,28336,debt_consolidation,,
Yes, 0.13 ,268.95,10.6454249,717,8687,debt_consolidation,,
Yes, 0.13 ,407.08,10.81985828,692,11442,debt_consolidation,,
Yes, 0.14 ,681.51,11.1844214,707,27316,debt_consolidation,,
Yes, 0.13 ,305.31,10.46595641,757,615,home_improvement,,
Yes, 0.09 ,111.82,11.3736634,727,18695,all_other,,
Yes, 0.16 ,385.02,10.81985828,667,11929,home_improvement,,
No, 0.10 ,320.95,10.30895266,762,4532,debt_consolidation,,
No, 0.08 ,188.02,11.42958733,752,21365,debt_consolidation,,
Yes, 0.15 ,414.45,10.89673933,697,7956,debt_consolidation,,
Yes, 0.13 ,301.2,10.59663473,732,114,all_other,,
Yes, 0.08 ,171.55,11.15625052,782,7537,credit_card,,
Yes, 0.15 ,174.24,10.53049493,662,7566,debt_consolidation,,
No, 0.10 ,320.95,11.00209984,747,23186,debt_consolidation,,
Yes, 0.13 ,203.54,10.59663473,677,7110,small_business,,
Yes, 0.17 ,429.41,11.16764253,667,3505,debt_consolidation,,
Yes, 0.15 ,51.81,10.58405595,677,7616,debt_consolidation,,
Yes, 0.08 ,31.34,11.12726298,742,4434,home_improvement,,
Yes, 0.14 ,272.61,11.00209984,682,12927,small_business,,
Yes, 0.08 ,112.29,10.32548196,752,1859,major_purchase,,
Yes, 0.13 ,184.07,10.23981692,702,3972,all_other,,
Yes, 0.16 ,847.53,11.28973191,682,30564,debt_consolidation,,
Yes, 0.13 ,508.84,10.88743693,702,7701,debt_consolidation,,
Yes, 0.13 ,488.49,11.03488966,702,17499,credit_card,,
Yes, 0.13 ,64.72,9.61580548,702,653,all_other,,
Yes, 0.08 ,172.35,10.95080655,747,40383,debt_consolidation,,
Yes, 0.13 ,201.71,10.6454249,692,5826,all_other,,
Yes, 0.15 ,520.37,10.6454249,687,21980,credit_card,,
Yes, 0.11 ,297.7,11.30471979,692,517,all_other,,
Yes, 0.14 ,342.29,11.1124479,682,9583,debt_consolidation,,
No, 0.11 ,261.71,10.59653473,692,25336,all_other,,
Yes, 0.15 ,331.56,10.91516119,682,19226,debt_consolidation,,
Yes, 0.15 ,189.96,10.19555997,672,12041,debt_consolidation,,
Yes, 0.15 ,529.05,10.7254676,682,10244,debt_consolidation,,
Yes, 0.13 ,295.13,11.15961628,707,19450,credit_card,,
Yes, 0.13 ,398.6,11.49272276,697,30993,debt_consolidation,,
Yes, 0.07 ,62.1,11.08214255,782,3630,home_improvement,,
Yes, 0.10 ,224.66,10.08580911,727,13197,debt_consolidation,,
Yes, 0.08 ,94.01,10.68051622,737,2786,all_other,,
Yes, 0.10 ,256.76,10.6454249,742,14894,all_other,,
Yes, 0.08 ,203.69,11.42954386,807,713,debt_consolidation,,
Yes, 0.12 ,39.98,10.34817337,702,2317,educational,,
Yes, 0.10 ,320.95,11.53272809,742,11616,debt_consolidation,,
Yes, 0.09 ,191.69,10.71441777,762,2420,all_other,,
Yes, 0.13 ,232.37,11.51292546,687,10867,home_improvement,,
Yes, 0.13 ,181.54,10.30881932,702,586,home_improvement,,
Yes, 0.14 ,315.2,10.80972795,682,6012,credit_card,,
Yes, 0.13 ,216.13,10.93310697,692,3981,all_other,,
Yes, 0.09 ,191.69,10.62132735,742,1763,debt_consolidation,,
Yes, 0.14 ,272.61,11.22524339,682,9287,credit_card,,
Yes, 0.12 ,533.04,11.36210258,737,39622,debt_consolidation,,
Yes, 0.10 ,356.25,10.1266311,742,6872,small_business,,
No, 0.13 ,309.57,9.472704636,727,3498,small_business,,
Yes, 0.16 ,632.84,11.15625052,677,12584,all_other,,
Yes, 0.14 ,340.76,10.59663473,692,11998,debt_consolidation,,
Yes, 0.16 ,123.06,10.46310334,662,5369,all_other,,
No, 0.11 ,167.32,9.903487553,712,7058,debt_consolidation,,
Yes, 0.12 ,116.08,10.30895266,722,4621,credit_card,,
Yes, 0.15 ,381.61,10.46310334,672,9778,debt_consolidation,,
Yes, 0.07 ,521.57,11.26446411,772,800,all_other,,
Yes, 0.13 ,692.29,11.15625052,722,20450,debt_consolidation,,
Yes, 0.14 ,272.61,9.952277717,682,5142,major_purchase,,
Yes, 0.15 ,276.3,11.5228758,672,17588,debt_consolidation,,
Yes, 0.13 ,401.6,11.38509209,717,29755,debt_consolidation,,
Yes, 0.12 ,331.64,10.71441777,752,5811,debt_consolidation,,
Yes, 0.17 ,534.41,10.75790288,687,5330,small_business,,
Yes, 0.10 ,545.61,11.39643659,772,10359,debt_consolidation,,
Yes, 0.13 ,373.15,10.08580911,697,8476,all_other,,
Yes, 0.08 ,125.35,10.77895629,772,703,all_other,,
Yes, 0.10 ,160.48,10.71894086,732,4637,all_other,,
Yes, 0.08 ,266.36,11.32659589,787,7439,home_improvement,,
Yes, 0.13 ,168.86,11.86358234,687,71053,home_improvement,,
Yes, 0.13 ,312.38,10.858999,702,9190,credit_card,,
Yes, 0.07 ,263.89,10.26813067,732,9321,all_other,,
Yes, 0.08 ,31.2,11.41861479,752,21003,all_other,,
Yes, 0.16 ,421.89,10.49127422,662,12683,home_improvement,,
Yes, 0.09 ,351.42,11.0953983,747,4148,credit_card,,
Yes, 0.14 ,342.29,11.35040654,682,3520,debt_consolidation,,
Yes, 0.12 ,333.15,10.94199592,762,2435,all_other,,
Yes, 0.16 ,335.63,11.06663836,697,17105,small_business,,
Yes, 0.13 ,337.71,10.41930072,772,26,small_business,,
Yes, 0.12 ,119.94,10.30895266,717,90,all_other,,
Yes, 0.15 ,167.27,9.68009397,667,1101,all_other,,
Yes, 0.08 ,224.58,11.35040654,777,3712,major_purchase,,
Yes, 0.08 ,441.84,11.05089001,717,10513,debt_consolidation,,
Yes, 0.13 ,339.23,11.22524339,742,24485,debt_consolidation,,
Yes, 0.13 ,605.13,10.91508846,747,16955,all_other,,
Yes, 0.12 ,331.64,10.90558894,732,11628,debt_consolidation,,
Yes, 0.13 ,81.05,11.26061054,677,5396,educational,,
No, 0.13 ,574.1,10.85892207,732,13429,debt_consolidation,,
Yes, 0.14 ,340.76,10.75790288,692,1400,all_other,,
Yes, 0.13 ,135.7,9.903487553,702,1067,all_other,,
Yes, 0.07 ,322.88,10.77895629,727,21326,all_other,,
Yes, 0.08 ,313.37,11.61863592,787,7195,home_improvement,,
Yes, 0.10 ,385.14,11.00209984,807,1977,small_business,,
No, 0.13 ,334.67,10.54006438,672,26788,all_other,,
Yes, 0.13 ,836.66,11.35040654,762,93559,educational,,
Yes, 0.15 ,193.4,10.72106231,667,260,major_purchase,,
Yes, 0.13 ,669.33,11.40756495,792,3719,small_business,,
Yes, 0.13 ,405.25,10.66895539,722,7879,credit_card,,
Yes, 0.13 ,435.07,11.08220409,712,13407,debt_consolidation,,
Yes, 0.14 ,255.57,10.37349118,712,1805,small_business,,
Yes, 0.10 ,192.57,10.69194491,732,11741,debt_consolidation,,
No, 0.16 ,350.02,10.95080655,682,1815,home_improvement,,
Yes, 0.17 ,780.34,11.09741002,677,27302,credit_card,,
No, 0.14 ,412.6,10.51867319,682,8748,debt_consolidation,,
Yes, 0.08 ,188.02,10.05182135,757,1112,all_other,,
Yes, 0.14 ,405.62,10.78931908,682,15677,debt_consolidation,,
No, 0.13 ,401.6,10.87812266,717,7464,debt_consolidation,,
Yes, 0.12 ,165.82,10.77895629,722,15155,major_purchase,,
Yes, 0.16 ,147.67,10.16585182,712,6154,all_other,,
Yes, 0.15 ,86.35,9.779963066,672,5002,debt_consolidation,,
Yes, 0.13 ,504.27,10.30895266,717,20105,debt_consolidation,,
No, 0.10 ,185.35,10.51596683,732,9619,all_other,,
Yes, 0.14 ,221.5,10.5454467,687,12518,all_other,,
Yes, 0.15 ,276.3,10.71441777,672,8441,debt_consolidation,,
Yes, 0.14 ,292.26,11.35040654,677,7429,home_improvement,,
Yes, 0.13 ,87.02,9.680344001,697,7155,debt_consolidation,,
Yes, 0.14 ,167.73,10.87804719,682,4341,debt_consolidation,,
Yes, 0.10 ,224.66,11.56171563,762,8035,credit_card,,
Yes, 0.15 ,374.6,10.62132735,667,21765,debt_consolidation,,
Yes, 0.13 ,168.86,10.96819829,722,5176,debt_consolidation,,
No, 0.14 ,290.95,10.91501573,707,3441,home_improvement,,
Yes, 0.14 ,171.15,10.15580148,697,4852,debt_consolidation,,
Yes, 0.18 ,718.84,11.5229154,667,18606,all_other,,
Yes, 0.12 ,198.99,10.5454467,722,17511,debt_consolidation,,
Yes, 0.17 ,532.05,10.73639668,672,14608,debt_consolidation,,
Yes, 0.12 ,166.58,11.21182037,712,13344,small_business,,
Yes, 0.12 ,298.48,11.35040654,732,5390,credit_card,,
Yes, 0.14 ,143.77,9.836332277,677,2255,home_improvement,,
